Name,Order,cross_entropy,RMSE,dice
1004298_76,20,4.214368e-06,8.7708893e-13,-1.0
1004302_88,1,518.9916,6.7810695e-05,0.9978118161925602
1004302_88,2,518.9879,2.4093388e-05,0.9989071038251366
1004302_88,3,518.9907,4.7854533e-05,1.0
1004302_88,4,519.0033,9.8062505e-05,0.9967141292442497
1004302_88,5,519.0046,5.7994526e-05,0.9978118161925602
1004302_88,6,518.9889,4.7518217e-05,0.9989071038251366
1004302_88,7,518.991,3.459553e-05,1.0
1004302_88,8,518.9885,4.3365504e-05,1.0
1004302_88,9,518.99536,5.339438e-05,0.9978118161925602
1004302_88,10,518.99115,4.270676e-05,0.9989071038251366
1004302_88,11,518.98834,4.9214344e-05,0.9989071038251366
1004302_88,12,518.9892,2.1235535e-05,0.9989071038251366
1004302_88,13,518.9939,4.1067316e-05,0.9989071038251366
1004302_88,14,518.9887,3.2985066e-05,0.9989071038251366
1004302_88,15,518.99225,3.5554425e-05,0.9989071038251366
1004302_88,16,519.01227,0.000103123166,0.9967141292442497
1004302_88,17,518.987,1.42135505e-05,0.9989071038251366
1004302_88,18,518.9877,2.6269061e-05,0.9989071038251366
1004302_88,19,519.0072,6.53936e-05,0.9978118161925602
1004302_88,20,519.0079,0.00010037681,0.9967141292442497
1004307_78,1,545.19507,7.2764575e-05,0.9992972593113141
1004307_78,2,545.1926,4.7288937e-05,1.0
1004307_78,3,545.2072,0.00013687248,0.9992972593113141
1004307_78,4,545.20807,0.00015531218,0.9992972593113141
1004307_78,5,545.19226,4.982648e-05,0.9992972593113141
1004307_78,6,545.19965,9.224473e-05,0.9992972593113141
1004307_78,7,545.2099,0.00014587739,0.9992972593113141
1004307_78,8,545.1912,3.7242542e-05,1.0
1004307_78,9,545.1937,6.0702307e-05,0.9992972593113141
1004307_78,10,545.215,0.00016631774,0.9992972593113141
1004307_78,11,545.1968,9.4721974e-05,0.9992972593113141
1004307_78,12,545.2023,0.00013468019,0.9992972593113141
1004307_78,13,545.19617,6.5920816e-05,1.0
1004307_78,14,545.1975,7.9557816e-05,0.9992972593113141
